Request ID,Request Type,Customer ID,Technician ID,Issue Identified,Service Technician Notes,Resolution Status,Start Time,End Time
1,Hardware,1001,1,PC won't turn on,Replaced faulty power supply,Unresolved,5/7/2023 9:00,5/7/2023 10:30
2,Software,1002,2,Program crashes on startup,Updated to latest version,Unresolved,5/7/2023 10:00,5/7/2023 11:00
3,Hardware,1003,3,Printer not printing,Replaced ink cartridge,Unresolved,5/7/2023 11:00,5/7/2023 12:00
4,Software,1004,4,Email not syncing,Reset email account password,Unresolved,5/7/2023 12:00,5/7/2023 13:00
5,Hardware,1005,5,Slow computer,Ran disk cleanup and removed malware,Pending,5/7/2023 13:00,5/7/2023 14:30
6,Hardware,1006,1,Blue screen of death,Replaced faulty RAM,Unresolved,5/7/2023 14:00,5/7/2023 15:30
7,Software,1007,2,Software not responding,Reinstalled software,Resolved,5/7/2023 15:00,5/7/2023 16:00
8,Hardware,1008,3,Monitor not displaying,Replaced faulty cable,Resolved,5/7/2023 16:00,5/7/2023 17:00
9,Software,1009,4,Keyboard not working,Replaced faulty keyboard,Resolved,5/7/2023 17:00,5/7/2023 18:00
10,Hardware,1010,5,Internet connection issues,Reset modem and router,Resolved,5/7/2023 18:00,5/7/2023 19:30
11,Software,1011,1,Application not launching,Cleared app cache,Unresolved,5/7/2023 19:00,5/7/2023 20:00
12,Hardware,1012,2,No sound from speakers,Replaced faulty speakers,Pending,5/7/2023 20:00,5/7/2023 21:00
13,Software,1013,3,File not opening,Recovered file from backup,Pending,5/7/2023 21:00,5/7/2023 22:00
14,Hardware,1014,4,External hard drive not detected,Replaced faulty cable,Unresolved,5/7/2023 22:00,5/7/2023 23:00
15,Software,1015,5,Mouse not working,Replaced faulty mouse,Resolved,5/7/2023 23:00,5/8/2023 23:30
16,Hardware,1016,1,Printer paper jam,Removed jammed paper and cleaned printer,Unresolved,5/8/2023 9:00,5/8/2023 10:30
17,Software,1017,2,Software installation failed,Reinstalled with admin privileges,Pending,5/8/2023 10:00,5/8/2023 11:00
18,Hardware,1018,3,No display on laptop screen,Replaced faulty screen,Unresolved,5/8/2023 11:00,5/8/2023 12:00
19,Software,1019,4,Slow internet,Reset network settings,Unresolved,5/8/2023 12:00,5/8/2023 13:00
20,Hardware,1020,5,Hard drive failure,Replaced faulty hard drive and restored data from backup,Unresolved,5/8/2023 13:00,5/8/2023 14:30
21,Hardware,1021,1,Network connectivity issues,Diagnosed and resolved network connectivity issue,Pending,5/8/2023 14:00,5/8/2023 15:30
22,Software,1022,2,Email account hacked,Reset email account password and enabled two-factor authentication,Pending,5/8/2023 15:00,5/8/2023 16:00
23,Hardware,1023,3,Computer overheating,Cleaned dust from fans and applied new thermal paste,Pending,5/8/2023 16:00,5/8/2023 17:00
24,Software,1024,4,Printer driver not installing,Downloaded and installed updated driver,Unresolved,5/8/2023 17:00,5/8/2023 18:00
25,Hardware,1025,5,Graphics card failure,Replaced faulty graphics card,Pending,5/8/2023 18:00,5/8/2023 19:30
26,Software,1026,1,Emails not sending,Reset email account password and updated outgoing mail server settings,Unresolved,5/8/2023 19:00,5/8/2023 20:00
27,Hardware,1027,2,CD/DVD drive not working,Replaced faulty drive,Pending,5/8/2023 20:00,5/8/2023 21:00
28,Software,1028,3,Application freezes,Updated to latest version and cleared app cache,Resolved,5/8/2023 21:00,5/8/2023 22:00
29,Hardware,1029,4,Keyboard keys not functioning,Replaced faulty keyboard,Pending,5/8/2023 22:00,5/8/2023 23:00
30,Software,1030,5,Application crashing,Uninstalled and reinstalled the application,Pending,5/10/2023 14:00,5/10/2023 15:00
